Identifier,Company Name,Company Type,Country,Year Founded,Company Status,Stock Exchange,Price,Market Cap (MM) (USD),Number of Employees,Gross Profit (MM) (USD),Net Income (MM) (USD),Earnings Per Share (EPS) (Basic) (USD),Earnings Per Share (EPS) (Diluted) (USD),Common Shares Outstanding (MM),Total Debt (MM) (USD),Cash & Short Term Investments (MM) (USD),Book Value Per Share (BVPS) (MM) (USD),Long Term Debt (MM) (USD),Total Assets (MM) (USD),Free Cash Flow (FCF) (MM) (USD),Capital Expenditures (MM) (USD),Dividend Yield,Price to Earnings (P/E),Return on Equity (ROE),Interest Coverage,Total Debt/EBITDA,Sales Growth
00182C-E,"Trimble, Inc.",Public,United States,1978,Active,NASDAQ,42.41,12440.90,11825.00,"2,059.00",449.70,1.81,1.80,246.90,"1,660.10",271.00,16.40,"1,325.10","7,269.00",348.00,43.20,0.00,28.13,11.25,7.61,2.13,0.47
00FHT7-E,"Gaming & Leisure Properties, Inc.",Public,United States,2013,Active,NASDAQ,46.25,12418.90,17.00,"1,039.81",684.22,2.71,2.70,260.73,"6,364.23",239.08,14.49,"6,362.00","10,930.39",125.24,24.02,5.38,19.31,19.65,3.17,5.13,7.84
064N0H-E,"Roku, Inc.",Public,United States,2002,Active,NASDAQ,84.75,12407.10,3600.00,"1,354.66",-498.01,-3.62,-3.62,140.03,719.33,"1,961.96",18.90,584.65,"4,412.60",-149.90,161.70,0.00,-,-18.40,-101.41,-,13.09
000Y35-E,"UDR, Inc.",Public,United States,1972,Active,NYSE,33.27,12371.00,1326.00,299.20,86.92,0.26,0.26,328.99,"5,676.54",30.19,12.32,"5,375.30","11,038.47",177.50,236.01,3.92,151.47,2.31,1.50,5.89,17.56
000N2T-E,"Interpublic Group of Cos., Inc.",Public,United States,1930,Active,NYSE,29.76,12198.70,58400.00,"1,570.70",938.00,2.40,2.37,386.50,"4,531.60","2,545.30",9.44,"4,250.80","18,845.00",-26.60,178.10,3.48,14.03,26.15,8.42,1.66,6.71
000LMZ-E,"Jack Henry & Associates, Inc.",Public,United States,1976,Active,NASDAQ,144.85,12117.90,7120.00,858.64,366.65,5.03,5.02,72.89,325.27,12.24,22.07,315.49,"2,823.25",195.14,206.98,1.21,33.36,24.52,31.89,0.41,6.94
000WJS-E,A. O. Smith Corp.,Public,United States,1874,Active,NYSE,71.56,12077.60,12000.00,"1,325.50",235.70,1.52,1.51,151.18,376.80,481.80,11.56,356.90,"3,332.30",143.90,70.30,1.99,37.83,13.17,69.64,0.47,6.08
007S8Y-E,"Celsius Holdings, Inc.",Public,United States,2004,Active,NASDAQ,174.55,12044.80,324.00,268.95,-187.28,-0.88,-0.88,229.15,1.22,652.93,0.17,0.49,"1,222.07",88.39,8.26,0.00,-,-34.63,-,-,107.97
05MQRP-E,AECOM,Public,United States,1980,Active,NYSE,79.01,12034.80,52000.00,986.36,114.09,0.40,0.39,136.21,"2,891.47","1,260.21",16.24,"2,662.22","11,233.40",494.19,105.60,0.87,210.28,4.87,4.97,2.29,9.36
0CV6B3-E,Elastic NV,Public,United States,2012,Active,NYSE,72.33,11988.50,2886.00,767.48,-236.16,-2.47,-2.47,97.37,594.23,917.68,4.10,581.49,"1,743.48",32.98,2.68,0.00,-,-58.00,-7.23,-,23.96
0FZ1HS-E,"Avangrid, Inc.",Public,United States,1852,Active,NYSE,32.05,11986.00,7579.00,"1,349.00",881.00,2.28,2.28,386.63,"9,464.00",69.00,50.13,"8,464.00","41,123.00","-2,147.00","2,519.00",4.09,18.89,4.58,1.95,5.19,12.93
002G82-E,"Juniper Networks, Inc.",Public,United States,1996,Active,NYSE,27.26,11981.40,10901.00,"2,988.40",471.00,1.46,1.43,322.90,"1,766.40","1,105.60",13.86,"1,719.00","9,326.70",-277.90,105.10,2.63,22.36,10.71,9.20,2.02,11.95
0040KQ-E,"Dick's Sporting Goods, Inc.",Public,United States,1948,Active,NYSE,115.27,11974.70,52800.00,"4,285.26","1,043.14",13.43,10.78,82.12,"4,205.14","1,924.39",30.74,"3,658.38","9,800.03",394.73,407.16,1.54,11.71,45.10,15.84,0.84,0.61
06HQZB-E,"Saia, Inc.",Public,United States,1924,Active,NASDAQ,388.03,11968.30,12300.00,470.54,357.42,13.48,13.40,26.39,154.51,187.39,59.84,115.07,"2,248.57",105.60,367.43,0.00,15.65,25.53,180.21,0.05,21.99
0032GX-E,EXACT Sciences Corp.,Public,United States,1995,Active,NASDAQ,67.02,11909.00,6400.00,"1,412.44",-623.51,-3.54,-3.54,177.93,"2,457.47",632.06,17.10,"2,425.91","6,695.42",-438.02,214.46,0.00,-,-19.39,-31.62,-,17.95
05TYNB-E,"Morningstar, Inc.",Public,United States,1984,Active,NASDAQ,262.35,11899.20,12224.00,919.70,70.50,1.65,1.64,42.48,"1,323.60",414.60,28.42,"1,254.20","3,474.80",106.80,129.50,0.67,131.79,5.38,7.55,2.82,5.77
0FDV7W-E,TopBuild Corp.,Public,United States,2015,Active,NYSE,264.35,11859.90,13119.00,"1,486.72",555.99,17.26,17.14,31.64,"1,677.03",240.07,60.98,"1,573.87","4,707.58",419.42,76.38,0.00,9.13,31.18,14.08,1.59,43.67
0013YQ-E,"NRG Energy, Inc.",Public,United States,1989,Active,NYSE,45.00,11857.10,6603.00,"2,146.00","1,221.00",5.17,5.17,229.56,"8,302.00",470.00,16.68,"8,156.00","29,146.00",-339.00,373.00,4.40,6.15,32.88,2.18,4.45,17.27
001MPG-E,Credicorp Ltd.,Public,Peru,1995,Active,NYSE,121.57,11845.70,36968.00,-,"1,207.78",15.19,15.15,79.53,"10,645.74",-,95.58,"4,843.36","62,083.02","2,290.17",233.76,4.95,8.93,16.96,-,-,20.09
00DXNY-E,Pentair plc,Public,United Kingdom,1966,Active,NYSE,61.64,11795.70,11250.00,"1,364.60",483.20,2.92,2.90,164.50,"2,399.00",108.90,16.46,"2,369.70","6,447.50",139.50,85.20,1.89,15.49,18.84,10.98,2.95,9.48
000DW8-E,CNA Financial Corp.,Public,United States,1897,Active,NYSE,40.04,11736.80,6100.00,-,894.00,3.29,3.28,270.90,"3,001.00",-,32.58,"2,719.00","55,721.00","1,468.00",52.00,3.78,12.89,8.26,-,-,-0.24
00FJ8N-E,"Rexford Industrial Realty, Inc.",Public,United States,2013,Active,NYSE,45.81,11627.20,223.00,284.31,166.74,0.92,0.92,189.11,"2,094.65",36.79,33.85,"2,094.21","9,259.28",-30.27,135.10,2.31,59.32,2.94,4.69,4.65,39.48
000XLT-E,"Teleflex, Inc.",Public,United States,1943,Active,NYSE,211.03,11599.20,15500.00,"1,558.76",362.92,7.74,7.68,47.96,"1,851.42",292.03,83.87,"1,744.46","6,928.06",199.83,79.19,0.54,32.52,9.33,7.29,2.20,-0.66
005RG1-E,Ares Capital Corp.,Public,United States,2004,Active,NASDAQ,19.66,11593.70,2550.00,"1,715.00",600.00,1.20,1.19,519.00,"12,320.00",337.00,18.41,"11,554.00","22,398.00",-166.00,0.00,10.12,15.51,6.51,2.56,10.57,4.35
0H67KD-E,"Evergy, Inc.",Public,United States,1881,Active,NASDAQ,51.21,11587.10,4512.00,"1,702.50",752.70,3.27,3.27,229.55,"12,158.70",25.20,41.32,"10,006.50","29,489.90",-899.40,"2,166.50",3.70,19.25,8.04,3.11,5.28,4.88
0NQMM4-E,Grab Holdings Ltd. (Singapore),Public,Singapore,2012,Active,NASDAQ,3.16,11582.00,11934.00,77.00,"-1,683.00",-0.44,-0.44,"3,861.82","1,365.00","4,922.00",1.71,"1,248.00","9,170.00",-961.00,74.00,0.00,-,-23.48,-8.02,-,112.30
000VC0-E,Regency Centers Corp.,Public,United States,1963,Active,NASDAQ,62.74,11578.80,445.00,544.54,482.87,2.82,2.81,170.66,"4,294.68",68.78,35.73,"4,225.60","10,860.22",73.58,155.07,4.04,22.24,7.96,3.09,4.71,6.50
0P45WW-E,HF Sinclair Corp,Public,United States,1947,Active,NYSE,56.28,11525.70,5223.00,"4,516.99","2,893.20",14.28,14.28,197.08,"3,720.50","1,665.07",46.90,"3,253.09","18,351.92","3,007.85",524.01,2.31,3.63,38.75,23.36,0.70,107.57
000XSK-E,"Globe Life, Inc.",Public,United States,1979,Active,NYSE,117.16,11464.60,3543.00,-,739.70,7.55,7.47,96.74,"2,077.06",-,50.61,"1,627.95","25,537.16","1,313.72",27.93,0.69,16.13,10.93,-,-,2.00
002HW9-E,"NiSource, Inc.",Public,United States,1987,Active,NYSE,25.72,11451.10,7117.00,"2,919.30",804.10,1.84,1.69,412.14,"11,352.20",75.40,14.63,"9,555.50","27,758.40","-1,243.30","2,203.10",3.43,16.21,11.07,3.15,5.71,19.41
00CXPW-E,"Floor & Decor Holdings, Inc.",Public,United States,2000,Active,NYSE,80.75,11441.40,11985.00,"1,572.69",298.20,2.82,2.78,106.15,"1,740.85",9.79,15.61,"1,633.06","4,351.24",-344.15,456.60,0.00,25.58,20.01,39.09,0.69,24.20
0N6VYH-E,Texas Pacific Land Corp.,Public,United States,1871,Active,NYSE,1809.01,11417.60,99.00,584.39,446.36,57.80,57.80,7.70,1.96,517.18,100.43,1.96,884.35,180.66,21.51,0.51,40.55,62.66,-,0.00,48.00
0DPN69-E,Liberty Broadband Corp.,Public,United States,1991,Active,NASDAQ,86.15,11410.70,1900.00,460.00,"1,257.00",8.01,7.96,146.60,"3,998.00",399.00,57.87,"2,576.00","15,309.00",-237.00,181.00,0.00,9.59,13.22,0.21,13.41,-1.32
0013FQ-E,The AES Corp.,Public,United States,1981,Active,NYSE,16.79,11310.00,9100.00,"2,548.00",-546.00,-0.82,-0.82,668.74,"23,898.00","2,640.00",2.39,"22,114.00","38,363.00","-2,258.00","4,551.00",2.22,-,-13.98,1.82,6.92,13.25
07WXZ8-E,US Foods Holding Corp.,Public,United States,2007,Active,NYSE,41.13,11309.20,29000.00,"5,492.00",265.00,1.02,1.01,224.50,"5,311.00",211.00,17.64,"4,984.00","12,773.00",463.00,265.00,0.00,33.72,6.05,2.76,4.68,15.50
0HMHB8-E,"Equitable Holdings, Inc.",Public,United States,1859,Active,NYSE,27.64,11183.60,8200.00,-,"1,785.00",4.52,4.49,365.08,"4,699.00",-,0.26,"3,940.00","253,468.00","-1,374.00",167.00,2.72,6.39,27.09,-,-,27.01
00FX5R-E,"Paycom Software, Inc.",Public,United States,1998,Active,NYSE,159.02,11170.30,6349.00,"1,026.36",281.39,4.86,4.84,57.87,70.01,400.73,20.44,55.03,"3,902.51",232.43,136.80,0.00,64.15,27.10,110.21,0.05,30.29
0LWYF0-E,"Ovintiv, Inc.",Public,United States,1881,Active,NYSE,48.81,11164.40,1744.00,"6,557.00","3,637.00",14.34,14.08,245.70,"4,493.00",5.00,31.29,"4,018.00","15,056.00","1,796.00","1,831.00",1.87,3.54,56.99,18.39,0.53,35.95
081V7W-E,"Dropbox, Inc.",Public,United States,2007,Active,NASDAQ,26.00,11123.10,3118.00,"1,880.70",553.20,1.53,1.24,349.40,"2,294.60","1,343.40",-0.89,"2,110.90","3,184.20",763.50,34.90,0.00,18.04,-,28.75,3.19,7.74
000XKX-E,Bio-Techne Corp.,Public,United States,1976,Active,NASDAQ,58.72,11121.10,3050.00,769.82,285.19,1.81,1.76,157.64,454.97,204.31,12.47,443.77,"2,733.72",165.86,38.24,0.39,46.33,15.55,19.14,0.90,2.81
0011JV-E,"Reinsurance Group of America, Inc.",Public,United States,1973,Active,NYSE,152.00,11064.90,3800.00,-,623.00,9.31,9.20,66.68,"3,961.00",-,62.17,"3,961.00","82,244.00","1,113.00",25.00,2.15,15.44,7.26,-,-,-2.37
000T9J-E,Performance Food Group Co.,Public,United States,1885,Active,NYSE,60.65,11032.10,35000.00,"5,758.20",397.20,2.58,2.54,154.50,"4,744.40",12.70,24.24,"4,536.30","12,677.50",562.40,269.70,0.00,23.67,11.28,3.35,3.18,12.50
000Y5Z-E,"Universal Health Services, Inc.",Public,United States,1979,Active,NYSE,128.25,10950.90,93800.00,"1,061.11",674.86,9.23,9.14,70.63,"5,271.28",102.82,83.83,"5,122.06","13,888.52",203.57,734.00,0.57,15.41,11.24,7.81,2.93,5.99
002713-E,Plains All American Pipeline LP,Public,United States,1998,Active,NASDAQ,15.82,10949.50,4100.00,"1,589.00","1,032.00",1.19,1.19,698.35,"8,875.00",401.00,11.12,"7,645.00","27,892.00","1,171.00",455.00,7.08,9.92,10.31,3.08,3.81,33.68
05KK69-E,"Crown Holdings, Inc.",Public,United States,1892,Active,NYSE,83.31,10935.40,26000.00,"1,816.00",727.00,6.02,5.99,119.95,"7,212.00",639.00,15.42,"6,981.00","14,301.00",-142.00,839.00,1.07,13.73,38.66,4.44,4.06,13.12
003TXQ-E,"CarMax, Inc.",Public,United States,1993,Active,NYSE,66.97,10920.20,30621.00,"2,556.25",484.76,3.05,3.03,158.08,"19,115.64",785.65,35.51,"18,464.10","26,549.62",860.62,422.71,0.00,22.75,8.94,-1.85,568.30,-6.95
002Q0C-E,"Charles River Laboratories International, Inc.",Public,United States,1947,Active,NYSE,181.91,10876.50,21400.00,"1,316.07",486.23,9.57,9.48,50.94,"3,147.48",241.10,58.42,"3,097.28","7,602.77",294.91,324.73,0.00,22.99,17.65,5.99,2.83,12.31
0025KH-E,Amdocs Ltd.,Public,United States,1988,Active,NASDAQ,82.53,10832.90,30695.00,"1,701.53",531.54,4.52,4.49,117.35,807.31,742.53,30.03,767.35,"6,425.65",498.81,124.36,2.01,18.83,15.10,33.62,0.66,6.78
001H2N-E,"Sarepta Therapeutics, Inc.",Public,United States,1980,Active,NASDAQ,78.01,10817.70,1162.00,751.16,-703.49,-8.03,-8.03,87.95,"1,617.36","1,989.37",4.38,"1,601.87","3,128.37",-356.17,30.82,0.00,-,-107.16,-9.96,-,32.93
05SKTK-E,"Coty, Inc.",Public,United States,1904,Active,NYSE,9.81,10789.20,11350.00,"3,357.10",508.20,0.58,0.56,852.80,"4,691.60",283.80,4.47,"4,568.10","12,661.60",389.20,222.80,0.00,22.01,14.59,2.72,4.23,4.71
0DZZSX-E,Lamar Advertising Co.,Public,United States,1902,Active,NASDAQ,95.00,10787.30,3500.00,"1,020.30",438.65,4.32,4.31,101.75,"4,571.57",52.62,11.75,"4,114.62","6,475.21",105.92,167.08,4.98,21.89,36.37,4.45,3.65,13.69
002FR0-E,"F5, Inc.",Public,United States,1996,Active,NASDAQ,154.08,10752.70,6524.00,"2,182.15",394.95,6.59,6.55,59.21,280.99,803.32,47.30,239.57,"5,248.33",599.23,54.18,0.00,24.59,14.99,-,0.00,4.35
0014S3-E,RenaissanceRe Holdings Ltd.,Public,Bermuda,1993,Active,NYSE,206.08,10741.50,718.00,-,"-1,062.28",-25.50,-25.50,43.72,"1,259.54",-,104.65,"1,229.54","30,890.91","1,503.61",0.00,0.80,-,-17.78,-,-,-4.15
000KYY-E,"Ally Financial, Inc.",Public,United States,1919,Active,NYSE,27.14,10729.00,-,-,"1,022.00",3.00,2.98,302.46,"20,867.00",-,37.83,"17,570.00","196,429.00",-,-,3.44,11.72,7.68,-,-,29.93
00FKBX-E,Allegion Plc,Public,Ireland,2013,Active,NYSE,101.89,10726.80,12300.00,"1,325.70",458.00,5.20,5.19,87.85,"2,195.80",288.00,10.72,"2,151.40","3,991.20",251.60,64.00,1.56,20.29,53.85,8.17,2.92,14.11
001N7P-E,"Boston Properties, Inc.",Public,United States,1970,Active,NYSE,58.91,10723.70,780.00,"1,209.31",848.06,5.41,5.40,156.76,"14,694.36",736.81,39.17,"14,685.05","24,207.67",201.57,398.09,5.80,12.52,14.15,2.46,8.01,7.62
003GLW-E,United States Steel Corp.,Public,United States,1901,Active,NYSE,34.24,10672.50,22740.00,"3,350.00","2,524.00",10.22,9.16,228.40,"4,131.00","3,508.00",44.74,"4,019.00","19,458.00","1,736.00","1,769.00",0.80,2.73,26.25,13.59,1.06,3.12
0FCWKX-E,"Gitlab, Inc.",Public,United States,2011,Active,NASDAQ,42.36,10644.90,2170.00,372.36,-172.31,-1.16,-1.16,151.14,1.13,939.15,5.10,0.41,"1,178.89",-83.48,6.07,0.00,-,-22.29,-,-,67.95
003ZLL-E,Wynn Resorts Ltd.,Public,United States,2002,Active,NASDAQ,92.76,10642.90,27000.00,674.29,-423.86,-3.73,-3.73,113.37,"13,789.74","3,655.26",-6.62,"13,213.88","13,415.10",-372.84,352.50,0.00,-,-,-0.40,28.27,-0.18
000DF4-E,"Casey's General Stores, Inc.",Public,United States,1959,Active,NASDAQ,273.57,10597.50,42982.00,"2,759.28",446.69,11.99,11.91,37.26,"1,673.37",378.87,71.40,"1,620.51","6,065.25",345.83,476.57,0.66,19.22,18.23,10.16,1.75,16.54
09HXKK-E,Western Midstream Partners LP,Public,United States,2007,Active,NYSE,28.72,10543.00,1217.00,"1,593.89","1,189.56",3.01,3.00,384.07,"6,829.02",286.66,7.74,"6,602.90","11,271.63",542.34,487.23,6.80,8.94,40.12,3.89,3.56,20.53
000D8M-E,Camden Property Trust,Public,United States,1993,Active,NYSE,90.57,10542.60,1650.00,323.45,652.62,6.07,6.03,115.64,"3,689.31",17.44,43.12,"3,442.71","9,327.94",-101.54,453.84,3.36,18.54,14.21,2.35,4.37,23.88
000XS9-E,"Toll Brothers, Inc.",Public,United States,1967,Active,NYSE,81.27,10524.50,4800.00,"2,690.72","1,372.07",12.47,12.36,103.79,"2,984.33","1,300.07",65.49,"2,860.47","12,527.02","1,102.39",72.96,1.17,5.72,21.43,-,1.54,-2.73
0BT29H-E,The Mosaic Co.,Public,United States,2004,Active,NYSE,33.36,10491.40,13570.00,"5,602.90","3,582.80",10.17,10.06,339.07,"3,808.00",743.60,35.55,"2,547.10","23,386.00","2,490.80","1,247.30",1.28,4.36,31.62,26.98,0.56,54.77
0LLWCV-E,Brookfield Renewable Corp.,Public,United States,2019,Active,NYSE,24.69,10472.00,2152.00,"1,425.00","1,503.00",4.15,4.15,361.82,"14,079.00",686.00,16.23,"12,754.00","43,288.00",359.00,847.00,4.65,6.63,31.51,1.22,5.78,12.21
062SK6-E,"Advanced Drainage Systems, Inc.",Public,United States,1966,Active,NYSE,112.66,10450.60,5870.00,"1,062.33",507.09,6.16,6.08,69.52,"1,376.33",217.13,11.86,"1,338.73","2,938.17",501.29,166.91,0.57,13.84,49.09,10.33,1.53,10.90
0DD3YK-E,"Ceridian HCM Holding, Inc.",Public,United States,2013,Active,NYSE,65.20,10345.00,8526.00,636.50,-73.40,-0.48,-0.48,153.86,"1,254.90",432.70,13.71,"1,237.10","7,917.20",38.10,94.50,0.00,-,-3.38,0.71,11.18,21.68
004BRJ-E,"Five Below, Inc.",Public,United States,2002,Active,NASDAQ,177.32,10305.60,21900.00,989.87,261.53,4.71,4.69,55.54,"1,496.75",399.17,24.52,"1,296.98","3,736.27",62.72,251.95,0.00,41.61,21.07,-,0.00,8.00
000J03-E,"EMCOR Group, Inc.",Public,United States,1987,Active,NYSE,210.22,10297.10,35500.00,"1,603.59",406.12,8.13,8.10,47.67,535.17,457.07,41.40,452.39,"5,524.61",421.46,49.29,0.36,18.28,19.22,42.80,0.37,11.84
0027JD-E,QIAGEN NV,Public,Netherlands,1996,Active,NYSE,39.20,10291.20,6178.00,"1,370.03",423.21,1.86,1.84,227.72,"1,955.08","1,418.27",15.22,"1,543.30","6,287.74",586.04,149.34,0.00,27.12,12.90,9.87,2.37,-4.89
0019JD-E,Eastman Chemical Co.,Public,United States,1920,Active,NYSE,77.03,10285.40,14500.00,"2,056.00",793.00,6.42,6.35,118.75,"5,353.00",493.00,43.40,"4,175.00","14,667.00",-17.00,624.00,3.77,12.83,14.61,5.68,3.30,0.50
0DX8BF-E,"Qorvo, Inc.",Public,United States,2013,Active,NASDAQ,88.33,10275.80,8500.00,"1,343.55",103.15,1.01,1.00,98.65,"2,136.59",808.76,39.56,"2,117.23","6,691.90",684.28,158.95,0.00,101.44,2.44,4.57,3.06,-23.17
0KBSXG-E,WestRock Co.,Public,United States,2015,Active,NYSE,37.85,10257.80,56100.00,"3,315.60","-1,649.00",-6.44,-6.44,256.40,"9,286.00","1,255.50",39.32,"8,550.60","27,443.70",404.50,"1,142.10",3.07,-,-15.35,2.31,3.03,-4.45
002G54-E,United Therapeutics Corp.,Public,United States,1996,Active,NASDAQ,224.43,10237.10,985.00,"1,784.70",727.30,15.98,15.00,46.03,800.00,"2,838.70",104.20,800.00,"6,085.50",656.20,138.80,0.00,18.54,16.61,30.58,0.77,14.88
0G604G-E,Liberty Media Corp. Liberty SiriusXM,Public,United States,2012,Active,NASDAQ,25.99,10205.40,-,"4,262.00","1,292.00",3.94,3.74,326.51,"13,143.00",362.00,26.83,"11,600.00","30,479.00","1,533.00",426.00,0.00,10.50,15.39,3.89,5.06,3.53
0067BK-E,CubeSmart,Public,United States,2004,Active,NYSE,36.22,10195.20,2804.00,405.75,291.26,1.29,1.29,224.60,"3,110.59",8.93,12.58,"3,075.82","6,325.83",225.78,41.23,4.42,31.22,10.22,3.61,4.63,22.74
0019FP-E,"Penske Automotive Group, Inc.",Public,United States,1992,Active,NYSE,156.12,10179.60,26500.00,"4,711.50","1,380.00",18.55,18.55,69.68,"4,052.70",106.50,59.53,"3,882.60","14,836.50",535.30,282.50,1.80,6.20,33.58,20.39,1.04,8.84
0BFSSZ-E,"Huntington Ingalls Industries, Inc.",Public,United States,2010,Active,NYSE,233.96,10178.40,43000.00,"1,440.00",579.00,14.44,14.44,39.90,"3,203.00",467.00,87.44,"2,752.00","11,329.00",302.00,272.00,2.07,15.98,18.39,5.06,3.32,12.10
0MM7GH-E,"Caesars Entertainment, Inc.",Public,United States,1937,Active,NASDAQ,44.40,10086.60,49000.00,"4,215.00",-513.00,-4.20,-4.20,214.31,"26,137.00","1,169.00",17.33,"25,979.00","33,527.00",23.00,963.00,0.00,-,-12.52,0.82,8.13,13.07
005GPJ-E,"MarketAxess Holdings, Inc.",Public,United States,2000,Active,NASDAQ,220.07,10080.20,744.00,586.63,250.22,6.68,6.65,37.65,82.68,481.69,28.72,0.00,"1,607.78",179.13,51.87,1.00,41.96,23.58,466.87,0.00,2.52
000W9G-E,Service Corp. International,Public,United States,1962,Active,NYSE,59.09,10078.50,17589.00,"1,154.60",565.34,3.58,3.53,153.94,"4,433.84",202.32,10.87,"4,296.40","15,066.04",295.98,369.71,1.48,19.58,31.56,5.33,3.64,-0.83
000TCG-E,"Essential Utilities, Inc.",Public,United States,1968,Active,NYSE,35.82,10065.60,3187.00,751.21,465.24,1.77,1.77,263.74,"6,874.59",11.40,20.39,"6,408.72","16,021.51",-751.09,"1,062.76",2.33,26.97,8.81,2.78,6.95,21.82
001RND-E,"C.H. Robinson Worldwide, Inc.",Public,United States,1905,Active,NASDAQ,81.69,10061.10,17399.00,"1,870.20",940.52,7.48,7.40,116.32,"2,361.17",217.48,11.64,"1,233.79","5,954.56","1,302.94",128.50,2.47,12.38,55.73,16.43,1.45,6.90
0033W3-E,"American Financial Group, Inc.",Public,United States,1959,Active,NYSE,109.86,10002.20,6900.00,-,898.00,10.55,10.53,85.20,"1,612.00",-,47.56,"1,612.00","24,090.00",-146.00,86.00,1.68,13.04,19.81,-,-,8.77
0026S8-E,"East West Bancorp, Inc.",Public,United States,1998,Active,NASDAQ,59.11,9986.30,3155.00,-,"1,128.08",7.98,7.92,140.95,564.33,-,42.46,264.33,"64,112.15","1,855.85",0.73,2.43,8.32,19.08,-,-,40.40
00255B-E,"Skechers U.S.A., Inc.",Public,United States,1992,Active,NYSE,47.70,9981.11,15100.00,"3,361.64",373.03,2.40,2.38,155.28,"1,987.07",717.90,22.99,"1,280.16","6,893.49",-120.67,358.99,0.00,17.61,10.92,27.75,0.98,17.98
002X70-E,Bruker Corp.,Public,United States,1960,Active,NASDAQ,58.82,9957.29,8525.00,"1,306.60",296.60,2.00,1.99,147.02,"1,270.40",645.50,7.58,"1,235.30","3,611.80",115.40,129.20,0.29,34.43,27.16,28.54,2.22,4.67
000VCV-E,Repligen Corp.,Public,United States,1981,Active,NASDAQ,150.36,9939.21,2025.00,429.92,185.96,3.35,3.24,55.56,422.96,623.76,34.39,131.39,"2,524.66",38.74,133.35,0.00,52.31,10.16,68.93,1.11,19.54
000DP2-E,Chesapeake Energy Corp.,Public,United States,1989,Active,NASDAQ,89.36,9932.57,1200.00,"6,356.00","4,936.00",38.71,33.36,134.72,"3,179.00",226.00,67.73,"3,093.00","15,726.00","1,090.00","1,823.00",2.16,2.83,66.73,32.28,0.39,93.44
074LCP-E,"Procore Technologies, Inc.",Public,United States,2002,Active,NYSE,52.22,9925.34,3568.00,555.83,-286.93,-2.10,-2.10,139.16,94.32,582.21,8.03,83.67,"1,740.41",-36.82,49.43,0.00,-,-24.88,-131.64,-,39.89
06GPGV-E,"XPO, Inc.",Public,United States,1989,Active,NYSE,79.53,9847.27,23000.00,"1,227.00",184.00,2.05,2.03,115.00,"3,245.00",460.00,8.80,"3,079.00","6,269.00",311.00,521.00,0.00,16.36,17.12,4.07,2.69,7.16
0015XK-E,Flex Ltd.,Public,United States,1990,Active,NASDAQ,26.13,9819.81,172108.00,"2,286.00",793.00,1.75,1.72,450.12,"4,473.00","3,294.00",11.89,"4,197.00","21,395.00",315.00,635.00,0.00,13.17,16.73,6.90,2.00,16.53
0B9519-E,"Fortune Brands Innovations, Inc.",Public,United States,1988,Active,NYSE,61.76,9815.23,11200.00,"1,887.10",539.90,5.27,5.23,128.04,"2,799.40",644.60,16.30,"2,169.70","6,120.90",174.60,246.10,1.96,10.92,20.96,6.59,2.60,-1.63
0MJPDF-E,"Match Group, Inc.",Public,United States,1995,Active,NASDAQ,29.44,9801.54,2720.00,"1,819.03",364.16,1.28,1.24,279.63,"3,947.63",581.24,-1.29,"3,933.14","4,182.76",476.56,49.13,0.00,33.48,-,3.54,4.15,6.89
0G868W-E,"ITT, Inc.",Public,United States,1920,Active,NYSE,101.21,9792.07,10300.00,922.30,368.30,4.40,4.38,82.70,536.60,561.20,27.18,66.60,"3,780.30",85.90,103.90,1.30,18.50,16.46,68.81,0.84,8.05
0CXZF5-E,Globant SA,Public,Luxembourg,2003,Active,NYSE,185.33,9787.97,27122.00,584.77,148.89,3.55,3.47,42.27,138.84,343.36,35.67,98.32,"2,199.46",147.97,95.43,0.00,47.36,10.59,13.70,0.41,37.25
0072FG-E,"Penumbra, Inc.",Public,United States,2004,Active,NYSE,197.86,9661.06,3900.00,526.29,-2.00,-0.05,-0.05,38.11,235.77,188.03,26.21,223.82,"1,370.89",-74.96,19.30,0.00,-,-0.21,-,0.80,13.32
001R86-E,"Annaly Capital Management, Inc.",Public,United States,1996,Active,NYSE,17.18,9651.74,161.00,"4,129.46","1,725.33",3.93,3.92,468.31,"68,318.87","1,576.71",20.79,"8,802.21","81,850.71","3,853.16",0.00,16.70,5.37,14.12,2.37,21.88,452.30
000XSP-E,The Toro Co.,Public,United States,1914,Active,NYSE,86.08,9640.55,10706.00,"1,558.90",329.70,3.16,3.13,103.84,"1,163.10",193.10,14.55,"1,143.60","3,644.30",15.40,149.50,1.68,25.82,23.03,9.02,1.50,0.64
0HKMQP-E,nVent Electric Plc,Public,United Kingdom,2017,Active,NYSE,49.90,9629.53,10400.00,"1,096.70",399.80,2.40,2.38,165.35,"1,164.60",297.50,16.52,"1,131.90","4,902.20",231.70,45.90,1.82,16.19,15.30,14.32,1.93,18.16
00148F-E,"Henry Schein, Inc.",Public,United States,1932,Active,NASDAQ,62.40,9620.61,22000.00,"3,649.00",538.00,3.95,3.91,131.79,"1,497.00",117.00,26.15,"1,315.00","8,607.00",506.00,96.00,0.00,20.45,15.66,21.32,1.00,1.98
